# e2b random 3-SAT: n=10 trials=1000 seed=1
alpha_pct,m,alpha_eff_pct,trials,sat,sat_pct,median_nodes,p90_nodes,max_nodes,ms
300,30,300,1000,995,100,5,7,15,211
340,34,340,1000,980,98,5,7,12,251
370,37,370,1000,917,92,5,7,13,298
390,39,390,1000,893,89,5,7,13,322
400,40,400,1000,854,85,5,7,14,338
410,41,410,1000,834,83,5,7,12,351
420,42,420,1000,805,81,5,7,11,373
427,43,430,1000,782,78,5,7,12,384
435,44,440,1000,713,71,5,7,13,420
445,45,450,1000,704,70,5,7,11,443
460,46,460,1000,638,64,5,7,12,449
480,48,480,1000,581,58,5,7,11,558
500,50,500,1000,496,50,5,7,12,572
550,55,550,1000,353,35,4,6,10,621
# e2b random 3-SAT: n=20 trials=1000 seed=1
alpha_pct,m,alpha_eff_pct,trials,sat,sat_pct,median_nodes,p90_nodes,max_nodes,ms
300,60,300,1000,1000,100,9,13,29,587
340,68,340,1000,989,99,8,13,30,813
370,74,370,1000,941,94,9,15,36,1088
390,78,390,1000,879,88,9,16,33,1408
400,80,400,1000,860,86,9,16,33,1412
410,82,410,1000,799,80,9,17,30,1635
420,84,420,1000,742,74,9,17,31,1764
427,85,425,1000,679,68,10,17,32,1953
435,87,435,1000,669,67,9,17,28,1972
445,89,445,1000,590,59,9,16,37,2233
460,92,460,1000,514,51,10,16,29,2193
480,96,480,1000,386,39,10,16,29,2462
500,100,500,1000,290,29,10,15,28,2593
550,110,550,1000,132,13,9,13,21,2896
# e2b random 3-SAT: n=30 trials=500 seed=1
alpha_pct,m,alpha_eff_pct,trials,sat,sat_pct,median_nodes,p90_nodes,max_nodes,ms
300,90,300,500,500,100,13,18,42,580
340,102,340,500,498,100,13,20,76,922
370,111,370,500,481,96,13,30,75,1504
390,117,390,500,461,92,13,33,70,1976
400,120,400,500,413,83,16,39,74,2684
410,123,410,500,391,78,16,34,75,2551
420,126,420,500,362,72,17,36,77,2968
427,128,427,500,324,65,19,37,61,3205
435,131,437,500,295,59,20,35,86,3458
445,134,447,500,228,46,21,36,69,3984
460,138,460,500,177,35,21,33,66,4138
480,144,480,500,154,31,20,32,61,4245
500,150,500,500,76,15,19,31,49,4629
550,165,550,500,21,4,16,24,38,4659
# e2b random 3-SAT: n=40 trials=300 seed=1
alpha_pct,m,alpha_eff_pct,trials,sat,sat_pct,median_nodes,p90_nodes,max_nodes,ms
300,120,300,300,300,100,16,22,76,572
340,136,340,300,300,100,16,32,126,1176
370,148,370,300,290,97,17,53,149,2159
390,156,390,300,277,92,20,68,163,3189
400,160,400,300,257,86,25,68,136,4045
410,164,410,300,219,73,31,79,127,5132
420,168,420,300,202,67,32,78,123,5717
427,171,428,300,187,62,36,78,148,6173
435,174,435,300,161,54,38,69,120,6415
445,178,445,300,154,51,42,74,140,7084
460,184,460,300,82,27,41,68,90,7664
480,192,480,300,64,21,38,60,113,7745
500,200,500,300,29,10,37,54,87,8171
550,220,550,300,4,1,27,43,61,7656
# e2b random 3-SAT: n=50 trials=200 seed=1
alpha_pct,m,alpha_eff_pct,trials,sat,sat_pct,median_nodes,p90_nodes,max_nodes,ms
300,150,300,200,200,100,20,27,140,593
340,170,340,200,200,100,20,37,212,1456
370,185,370,200,198,99,22,67,472,3083
390,195,390,200,180,90,27,137,380,6048
400,200,400,200,175,88,40,147,280,7230
410,205,410,200,151,76,57,161,423,9906
420,210,420,200,149,75,53,153,339,9449
427,214,428,200,114,57,81,164,249,12713
435,218,436,200,108,54,78,150,247,12106
445,223,446,200,66,33,87,145,264,14832
460,230,460,200,46,23,81,128,223,14494
480,240,480,200,21,11,73,110,164,14589
500,250,500,200,11,6,62,95,171,13350
550,275,550,200,3,2,49,74,102,12123
