========================================================================================================
Repaired bridge:  eta := max Re S_A(th)/b  over the MINOR arcs  |th| >= C/N
   rate/element = exp(-t_min (1-eta)/4);   any eta < 1 gives exponential decay
========================================================================================================
     ens     k     x    C   t_min   eta = max ReS/b    at theta  rate/elt (bound)  rate/elt (true)
    odds   200  0.10   10  0.9126          0.217206    0.501781          0.836451         0.717509
    odds   200  0.10   30  0.9126          0.217237    0.501787          0.836457         0.717520
    odds   200  0.10  100  0.9126          0.217230    0.498209          0.836455         0.648387

    odds   200  0.30   10  0.3616          0.217236    0.501790          0.931692         0.792229
    odds   200  0.30   30  0.3616          0.217230    0.501791          0.931691         0.792229
    odds   200  0.30  100  0.3616          0.217230    0.498209          0.931691         0.769469

 squares   150  0.10   10  0.8938          0.506842    0.249985          0.895656         0.855108
 squares   150  0.10   30  0.8938          0.525599    0.249980          0.899418         0.862872
 squares   150  0.10  100  0.8938          0.522797    0.750020          0.898855         0.862349

 squares   150  0.30   10  0.2792          0.524398    0.249980          0.967352         0.875276
 squares   150  0.30   30  0.2792          0.525595    0.750017          0.967433         0.872111
 squares   150  0.30  100  0.2792          0.522797    0.750020          0.967244         0.875020

  primes   200  0.10   10  0.9081          0.493225    0.166683          0.891321         0.840119
  primes   200  0.10   30  0.9081          0.493247    0.833323          0.891326         0.840106
  primes   200  0.10  100  0.9081          0.493275    0.166681          0.891332         0.840112

  primes   200  0.30   10  0.3407          0.493272    0.166681          0.957753         0.875734
  primes   200  0.30   30  0.3407          0.493247    0.833323          0.957751         0.875733
  primes   200  0.30  100  0.3407          0.493260    0.166682          0.957752         0.875735

