========================================================================================================
Per-layer comparison: EXACT term_d  vs  MODEL term_d   (odds, k=220)
========================================================================================================

  x=0.10   (u=4840.0, V=3.549e+06)
     d   N_d  sigma_d   delta_d      exact term      model term     exact/model
     1    1        1       1.5       1.00000160      1.00000178     1.000000
     2    2        4       4.0       0.50000541      0.50000631     0.999998
     3    3        9       7.5       0.25000951      0.25001109     0.999994
     4    4       16      12.0       0.12501231      0.12501420     0.999985
     5    5       25      17.5       0.06251327      0.06251510     0.999971
     6    6       36      24.0       0.03126263      0.03126420     0.999950
     7    7       49      31.5       0.01563599      0.01563723     0.999921
     8    8       64      40.0       0.00782145      0.00782236     0.999883
     9    9       81      49.5       0.00391316      0.00391380     0.999836
    10   10      100      60.0       0.00195824      0.00195867     0.999778
    11   11      121      71.5       0.00098022      0.00098050     0.999708
    12   12      144      84.0       0.00049082      0.00049100     0.999626
    13   13      169      97.5       0.00024586      0.00024597     0.999531
    14   14      196     112.0       0.00012321      0.00012328     0.999424

  x=0.30   (u=14520.0, V=3.549e+06)
     d   N_d  sigma_d   delta_d      exact term      model term     exact/model
     1    1        1       1.5       1.00002391      1.00001851     1.000005
     2    2        4       4.0       0.50008069      0.50006582     1.000030
     3    3        9       7.5       0.25014196      0.25011570     1.000105
     4    4       16      12.0       0.12518381      0.12514811     1.000285
     5    5       25      17.5       0.06269802      0.06265753     1.000646
     6    6       36      24.0       0.03143853      0.03139819     1.001285
     7    7       49      31.5       0.01578921      0.01575271     1.002317
     8    8       64      40.0       0.00794622      0.00791555     1.003876
     9    9       81      49.5       0.00400958      0.00398524     1.006107
    10   10      100      60.0       0.00202968      0.00201124     1.009168
    11   11      121      71.5       0.00103136      0.00101790     1.013215
    12   12      144      84.0       0.00052639      0.00051688     1.018402
    13   13      169      97.5       0.00027002      0.00026347     1.024869
    14   14      196     112.0       0.00013929      0.00013487     1.032734

========================================================================================================
Same, primes k=220
========================================================================================================

  x=0.10
     d   N_d  sigma_d   delta_d      exact term      model term     exact/model
     1    0        0       1.0       2.00000017      2.00000017     1.000000
     2    1        3       3.5       1.00000085      1.00000103     1.000000
     3    2        8       7.0       0.50000172      0.50000205     0.999999
     4    3       15      11.5       0.25000237      0.25000277     0.999998
     5    3       15      12.5       0.25000288      0.25000327     0.999998
     6    4       26      19.0       0.12500329      0.12500378     0.999996
     7    5       39      26.5       0.06250324      0.06250368     0.999993
     8    5       39      27.5       0.06250352      0.06250396     0.999993
     9    6       56      37.0       0.03125320      0.03125359     0.999988
    10    7       75      47.5       0.01562766      0.01562796     0.999981
    11    7       75      48.5       0.01562778      0.01562808     0.999981
    12    8       98      61.0       0.00781471      0.00781494     0.999971
    13    8       98      62.0       0.00781480      0.00781502     0.999972
    14    8       98      63.0       0.00781488      0.00781510     0.999972
