================================================================================================================
Is the coupling variable u/V, or the TRUE local log-slope of r_B?
================================================================================================================

  ### odds  (k=220)   predicted Q(0) = 23.167
      x    lam=u/V     lam_true    ratio    Qhat_c(u/V)  Qhat_c(true)   true/pred
   0.06   8.182e-04 -8.168e-04  -0.9983       20.095       20.165     0.87042
   0.08   1.091e-03 -1.095e-03  -1.0034       20.301       20.165     0.87044
   0.10   1.364e-03 -1.377e-03  -1.0100       20.572       20.166     0.87046
   0.15   2.045e-03 -2.116e-03  -1.0343       21.575       20.168     0.87055
   0.20   2.727e-03 -2.923e-03  -1.0716       23.164       20.171     0.87068

  ### squares  (k=170)   predicted Q(0) = 1022.121
      x    lam=u/V     lam_true    ratio    Qhat_c(u/V)  Qhat_c(true)   true/pred
   0.06   1.376e-05 -1.364e-05  -0.9910      885.016      901.161     0.88166
   0.08   1.835e-05 -1.829e-05  -0.9967      895.252      901.100     0.88160
   0.10   2.293e-05 -2.303e-05  -1.0043      908.743      900.996     0.88150
   0.15   3.440e-05 -3.550e-05  -1.0319      959.207      900.854     0.88136
   0.20   4.587e-05 -4.929e-05  -1.0747     1040.010      900.505     0.88102

  ### primes  (k=220)   predicted Q(0) = 57.042
      x    lam=u/V     lam_true    ratio    Qhat_c(u/V)  Qhat_c(true)   true/pred
   0.06   2.682e-04 -2.676e-04  -0.9977       49.749       49.981     0.87621
   0.08   3.576e-04 -3.587e-04  -1.0029       50.273       49.981     0.87621
   0.10   4.470e-04 -4.514e-04  -1.0098       50.963       49.980     0.87619
   0.15   6.705e-04 -6.939e-04  -1.0348       53.521       49.978     0.87615
   0.20   8.941e-04 -9.597e-04  -1.0734       57.583       49.974     0.87609
