seq,k,total,rho_pct,n,gs,deg,lm
primes,8,98,5,4,1,2,3
primes,8,98,10,9,1,2,5
primes,8,98,15,14,0,1,7
primes,8,98,20,19,0,2,9
primes,8,98,25,24,0,3,13
primes,8,98,30,29,0,3,18
primes,8,98,35,34,0,3,22
primes,8,98,40,39,0,5,23
primes,8,98,45,44,0,5,23
primes,8,98,50,49,0,4,22
primes,8,98,55,53,0,4,24
primes,8,98,60,58,0,5,24
primes,8,98,65,63,0,5,22
primes,8,98,70,68,0,3,17
primes,8,98,75,73,0,2,12
primes,8,98,80,78,0,2,10
primes,8,98,85,83,0,1,8
primes,8,98,90,88,0,1,7
primes,8,98,95,93,0,1,3
random,8,100,5,5,2,2,3
random,8,100,10,10,0,1,6
random,8,100,15,15,0,1,8
random,8,100,20,20,0,2,11
random,8,100,25,25,0,2,15
random,8,100,30,30,0,3,19
random,8,100,35,35,0,5,22
random,8,100,40,40,0,3,25
random,8,100,45,45,0,5,27
random,8,100,50,50,0,6,28
random,8,100,55,55,0,5,27
random,8,100,60,60,0,3,25
random,8,100,65,65,0,5,22
random,8,100,70,70,0,3,19
random,8,100,75,75,0,2,15
random,8,100,80,80,0,2,11
random,8,100,85,85,0,1,8
random,8,100,90,90,0,1,6
random,8,100,95,95,2,2,3
primes,12,236,5,11,0,1,7
primes,12,236,10,23,0,3,17
primes,12,236,15,35,0,5,30
primes,12,236,20,47,0,10,56
primes,12,236,25,59,0,15,84
primes,12,236,30,70,0,21,117
primes,12,236,35,82,0,26,152
primes,12,236,40,94,0,33,184
primes,12,236,45,106,0,37,206
primes,12,236,50,118,0,38,214
primes,12,236,55,129,0,38,204
primes,12,236,60,141,0,34,183
primes,12,236,65,153,0,29,154
primes,12,236,70,165,0,22,116
primes,12,236,75,177,0,15,84
primes,12,236,80,188,0,10,54
primes,12,236,85,200,0,6,29
primes,12,236,90,212,0,3,17
primes,12,236,95,224,0,1,7
random,12,284,5,14,2,2,7
random,12,284,10,28,0,2,14
random,12,284,15,42,0,4,29
random,12,284,20,56,0,7,61
random,12,284,25,71,0,11,95
random,12,284,30,85,0,17,141
random,12,284,35,99,0,26,186
random,12,284,40,113,0,31,229
random,12,284,45,127,0,35,262
random,12,284,50,142,0,32,264
random,12,284,55,156,0,32,263
random,12,284,60,170,0,26,239
random,12,284,65,184,0,24,191
random,12,284,70,198,0,19,140
random,12,284,75,213,0,11,95
