seq,k,seed,total,sumsq,n,gs,deg,lm,gamma
primes,8,0,98,1552,49,0,4,22,5.222656
random,8,0,100,1544,50,0,6,28,5.941406
random,8,1,106,1760,53,0,6,26,6.019531
random,8,2,100,1552,50,0,6,30,5.527344
random,8,3,108,1696,54,0,6,30,6.902344
random,8,4,94,1464,47,0,6,26,5.035156
random,8,5,100,1552,50,0,6,30,5.527344
random,8,6,94,1448,47,0,6,26,5.066406
random,8,7,92,1360,46,0,6,26,5.058594
random,8,8,112,1736,56,0,8,40,8.902344
random,8,9,84,1104,42,0,6,28,4.941406
random,8,10,114,1880,57,0,2,34,7.925781
random,8,11,118,2056,59,0,4,26,7.144531
random,8,12,96,1384,48,0,8,28,5.917969
random,8,13,110,1712,55,0,2,34,7.902344
random,8,14,80,968,40,0,8,30,4.917969
random,8,15,116,1904,58,0,6,38,8.925781
random,8,16,114,1880,57,0,2,34,7.925781
random,8,17,100,1608,50,0,6,26,5.285156
random,8,18,92,1360,46,0,6,26,5.058594
random,8,19,88,1256,44,0,6,26,4.964844
random,8,20,112,1880,56,0,6,30,7.207031
random,8,21,114,1824,57,0,2,38,8.910156
random,8,22,102,1688,51,0,4,22,5.300781
random,8,23,114,1880,57,0,2,34,7.925781
random,8,24,98,1568,49,0,4,24,5.160156
random,8,25,92,1376,46,0,4,26,5.027344
random,8,26,104,1640,52,0,6,36,6.957031
random,8,27,96,1488,48,0,4,24,5.191406
random,8,28,112,1896,56,0,8,34,7.144531
random,8,29,102,1576,51,0,4,30,6.027344
random,8,30,102,1688,51,0,4,22,5.300781
random,8,31,114,1944,57,0,4,32,7.269531
random,8,32,84,1104,42,0,6,28,4.941406
random,8,33,126,2184,63,0,2,40,9.894531
random,8,34,94,1416,47,0,4,26,5.175781
random,8,35,104,1640,52,0,6,28,5.902344
random,8,36,100,1664,50,0,4,24,5.144531
random,8,37,84,1104,42,0,6,28,4.941406
random,8,38,120,2088,60,0,6,30,7.894531
random,8,39,80,968,40,0,8,30,4.917969
random,8,40,98,1520,49,0,2,26,5.277344
random,8,41,108,1840,54,0,4,28,5.707031
random,8,42,90,1328,45,0,4,26,4.988281
random,8,43,116,2048,58,0,6,28,6.394531
random,8,44,90,1328,45,0,4,26,4.988281
random,8,45,92,1376,46,0,4,26,5.027344
random,8,46,98,1520,49,0,2,26,5.277344
random,8,47,100,1544,50,0,6,28,5.941406
random,8,48,114,2000,57,0,4,24,6.144531
random,8,49,104,1736,52,0,4,26,5.519531
random,8,50,90,1344,45,0,4,22,4.972656
random,8,51,102,1576,51,0,4,30,6.027344
random,8,52,96,1432,48,0,8,30,5.433594
random,8,53,104,1736,52,0,4,22,5.425781
random,8,54,98,1400,49,0,4,34,6.917969
random,8,55,104,1736,52,0,4,22,5.425781
random,8,56,96,1512,48,0,6,24,5.097656
random,8,57,100,1488,50,0,6,32,6.925781
random,8,58,92,1424,46,0,6,22,4.988281
random,8,59,110,1712,55,0,2,34,7.902344
random,8,60,108,1872,54,0,4,26,5.519531
random,8,61,94,1424,47,0,4,26,5.089844
random,8,62,98,1472,49,0,4,30,5.925781
random,8,63,100,1648,50,0,6,26,5.175781
random,8,64,100,1552,50,0,6,30,5.527344
random,8,65,108,1752,54,0,6,26,6.410156
random,8,66,114,1936,57,0,4,28,6.957031
random,8,67,108,1760,54,0,6,34,7.050781
random,8,68,106,1824,53,0,2,24,5.394531
random,8,69,98,1496,49,0,6,26,5.464844
random,8,70,98,1552,49,0,4,22,5.222656
random,8,71,100,1632,50,0,4,24,5.238281
random,8,72,96,1464,48,0,6,26,5.214844
random,8,73,120,2072,60,0,6,32,8.144531
random,8,74,114,1944,57,0,4,32,7.269531
random,8,75,98,1520,49,0,2,24,5.441406
random,8,76,94,1480,47,0,6,22,5.019531
random,8,77,114,1824,57,0,2,38,8.910156
random,8,78,116,2000,58,0,4,28,7.394531
random,8,79,108,1680,54,0,6,30,7.402344
random,8,80,108,1856,54,0,6,30,5.644531
random,8,81,98,1568,49,0,6,22,5.207031
random,8,82,114,1824,57,0,2,38,8.910156
random,8,83,100,1600,50,0,6,26,5.457031
random,8,84,110,1712,55,0,2,34,7.902344
random,8,85,112,1928,56,0,6,26,6.269531
random,8,86,96,1544,48,0,4,24,5.050781
random,8,87,104,1640,52,0,6,28,5.902344
random,8,88,92,1424,46,0,6,22,4.988281
random,8,89,116,1984,58,0,6,30,7.519531
random,8,90,108,1760,54,0,6,34,7.050781
random,8,91,100,1648,50,0,6,26,5.175781
random,8,92,114,1936,57,0,4,28,6.957031
random,8,93,86,1184,43,0,4,26,4.949219
random,8,94,108,1856,54,0,6,30,5.644531
random,8,95,116,1904,58,0,6,38,8.925781
random,8,96,112,1960,56,0,4,26,5.894531
random,8,97,104,1592,52,0,8,34,7.027344
random,8,98,106,1824,53,0,2,24,5.394531
random,8,99,108,1776,54,0,4,28,7.019531
primes,12,0,236,6404,118,0,38,214,5.337646
random,12,0,284,8388,142,0,32,264,8.071045
random,12,1,270,7524,135,0,32,308,8.272217
random,12,2,260,6972,130,0,40,336,9.102295
random,12,3,306,9276,153,0,28,320,9.774170
random,12,4,248,6932,124,0,34,230,6.087158
random,12,5,248,6668,124,0,38,226,5.903564
random,12,6,260,6796,130,0,40,288,7.427979
random,12,7,212,5260,106,0,46,216,5.130615
random,12,8,262,6828,131,0,36,372,10.027100
random,12,9,294,8708,147,0,32,262,8.122803
random,12,10,236,6348,118,0,42,206,5.355225
random,12,11,262,6956,131,0,38,310,8.562256
random,12,12,244,6532,122,0,36,220,5.620361
random,12,13,264,7724,132,0,36,204,5.681396
random,12,14,242,6644,121,0,36,202,5.310791
random,12,15,258,7076,129,0,36,250,6.772217
random,12,16,258,7140,129,0,34,232,6.367920
random,12,17,248,6908,124,0,36,208,5.555908
random,12,18,262,7892,131,0,38,198,5.653076
random,12,19,266,7572,133,0,40,212,6.059814
random,12,20,250,6740,125,0,36,268,7.166260
random,12,21,278,7924,139,0,32,268,7.778564
random,12,22,256,7012,128,0,36,268,7.374756
random,12,23,276,7716,138,0,36,342,9.571533
random,12,24,334,10700,167,0,32,324,10.489014
random,12,25,250,7092,125,0,40,200,5.548584
random,12,26,256,6796,128,0,34,254,6.624268
random,12,27,288,8636,144,0,36,298,9.242920
random,12,28,244,6572,122,0,42,278,7.147217
random,12,29,292,8404,146,0,34,348,10.122314
random,12,30,282,8092,141,0,32,288,8.559814
random,12,31,266,7412,133,0,34,262,7.375732
random,12,32,266,7156,133,0,34,304,7.991455
random,12,33,278,8212,139,0,34,224,6.685303
random,12,34,264,7964,132,0,30,164,5.380615
random,12,35,230,5620,115,0,42,222,5.678467
random,12,36,244,6452,122,0,38,216,5.681885
random,12,37,272,8228,136,0,36,218,6.278076
random,12,38,228,6148,114,0,42,200,5.166748
random,12,39,298,8660,149,0,30,390,11.435303
random,12,40,280,7628,140,0,44,350,9.492432
random,12,41,246,6452,123,0,40,280,7.307861
random,12,42,282,8356,141,0,32,268,8.225342
random,12,43,266,7828,133,0,36,212,6.117920
random,12,44,318,9708,159,0,30,346,10.615967
random,12,45,250,7092,125,0,36,200,5.407471
random,12,46,252,6380,126,0,44,308,8.055420
random,12,47,260,7332,130,0,34,274,7.552490
random,12,48,280,8092,140,0,36,288,8.337646
random,12,49,254,6860,127,0,38,278,7.393799
random,12,50,248,6508,124,0,40,222,5.834229
random,12,51,216,5116,108,0,46,246,5.525635
random,12,52,276,8292,138,0,36,210,6.459717
random,12,53,302,8844,151,0,32,398,11.780029
random,12,54,288,8412,144,0,38,308,9.161865
random,12,55,256,7204,128,0,34,240,6.547607
random,12,56,230,5412,115,0,40,316,7.524170
random,12,57,286,8420,143,0,32,288,8.432373
random,12,58,208,4884,104,0,46,220,5.092041
random,12,59,252,6644,126,0,36,272,7.303467
random,12,60,274,7724,137,0,30,298,8.369873
random,12,61,282,8244,141,0,32,276,8.192139
random,12,62,272,7996,136,0,38,210,6.260498
random,12,63,228,5812,114,0,38,210,5.344971
random,12,64,294,8620,147,0,30,304,8.742920
random,12,65,224,6108,112,0,42,196,5.057373
random,12,66,222,5468,111,0,44,230,5.498779
random,12,67,270,7452,135,0,36,302,8.503662
random,12,68,296,9052,148,0,32,250,7.660889
random,12,69,276,7540,138,0,38,362,10.007080
random,12,70,280,8252,140,0,36,242,7.168701
random,12,71,300,8756,150,0,38,402,12.084717
random,12,72,258,7172,129,0,34,268,7.329346
random,12,73,288,8748,144,0,36,262,8.246826
random,12,74,284,8188,142,0,36,308,8.755615
random,12,75,234,6396,117,0,40,200,5.158936
random,12,76,250,6468,125,0,38,274,7.257080
random,12,77,258,6804,129,0,38,274,7.538330
random,12,78,252,7268,126,0,34,200,5.353271
random,12,79,288,8604,144,0,36,316,9.309326
random,12,80,274,7876,137,0,36,246,7.125732
random,12,81,284,8372,142,0,34,260,7.770752
random,12,82,276,8156,138,0,38,220,6.588623
random,12,83,226,6028,113,0,44,214,5.096924
random,12,84,254,6724,127,0,36,234,6.334717
random,12,85,308,9652,154,0,34,290,8.770264
random,12,86,250,6700,125,0,34,264,7.041748
random,12,87,254,6676,127,0,38,270,7.267334
random,12,88,234,5844,117,0,38,288,7.142334
random,12,89,276,7796,138,0,36,284,8.007080
random,12,90,290,8492,145,0,32,302,8.654053
random,12,91,284,8276,142,0,32,294,8.510498
random,12,92,276,8084,138,0,38,236,6.770264
random,12,93,254,7108,127,0,36,216,5.877686
random,12,94,256,7340,128,0,40,202,5.631592
random,12,95,306,9052,153,0,28,396,11.739990
random,12,96,252,6884,126,0,36,278,7.531982
random,12,97,268,6916,134,0,42,422,11.245361
random,12,98,236,6388,118,0,34,214,5.554443
random,12,99,244,6676,122,0,34,200,5.405518
primes,16,0,438,16752,219,0,394,2138,5.348282
random,16,0,402,13528,201,0,434,2606,6.067337
random,16,1,590,24712,295,0,290,4808,15.079391
random,16,2,578,26208,289,0,326,2558,8.092789
random,16,3,490,20024,245,0,356,2250,6.349197
random,16,4,526,23264,263,0,330,2406,7.241470
random,16,5,444,16584,222,0,390,3514,9.016312
random,16,6,454,16488,227,0,392,2978,7.638474
random,16,7,510,20936,255,0,358,2754,7.853775
random,16,8,462,16128,231,0,390,4040,10.159592
random,16,9,540,22904,270,0,350,3240,9.659561
random,16,10,494,19472,247,0,360,3396,9.387985
random,16,11,556,24152,278,0,330,2260,7.063126
random,16,12,528,21752,264,0,346,3856,11.288956
random,16,13,466,17144,233,0,380,3686,9.637283
random,16,14,458,17104,229,0,392,2792,7.288712
random,16,15,458,16840,229,0,384,2736,7.032669
random,16,16,540,22856,270,0,340,3296,9.850662
random,16,17,560,23952,280,0,358,4350,13.313004
random,16,18,442,16696,221,0,398,2356,6.064224
random,16,19,532,22088,266,0,354,3616,10.605484
random,16,20,536,21728,268,0,356,3082,9.189133
random,16,21,508,20456,254,0,356,2732,7.783005
random,16,22,518,21968,259,0,342,2220,6.543472
random,16,23,546,23608,273,0,326,2350,7.112869
random,16,24,546,23200,273,0,342,3336,10.106705
random,16,25,472,18624,236,0,374,2778,7.554276
random,16,26,464,17392,232,0,382,3068,8.039108
random,16,27,564,24488,282,0,330,2722,8.512711
random,16,28,484,18936,242,0,368,2810,7.765244
random,16,29,546,23016,273,0,340,3338,10.083054
random,16,30,590,25840,295,0,314,3822,12.140884
random,16,31,586,26680,293,0,324,2370,7.522476
random,16,32,492,19624,246,0,366,2812,7.841080
random,16,33,458,17080,229,0,384,2794,7.258499
random,16,34,434,16256,217,0,402,2192,5.569443
random,16,35,384,12784,192,0,442,2338,5.284592
random,16,36,444,16680,222,0,390,2226,5.721542
random,16,37,404,14656,202,0,430,2122,5.081985
random,16,38,482,19464,241,0,358,2114,5.850723
random,16,39,502,20376,251,0,354,2696,7.632187
random,16,40,432,14864,216,0,414,3134,7.633377
random,16,41,476,18000,238,0,382,2892,7.725967
random,16,42,506,21256,253,0,342,2164,6.293594
random,16,43,538,21624,269,0,336,3544,10.329422
random,16,44,546,23640,273,0,330,2556,7.725662
random,16,45,424,15096,212,0,410,2214,5.417343
random,16,46,444,15184,222,0,428,3100,7.563065
random,16,47,452,17496,226,0,380,2688,7.086685
random,16,48,514,20368,257,0,362,3246,9.203018
random,16,49,502,20048,251,0,354,2208,6.250565
random,16,50,562,24216,281,0,320,2576,8.094254
random,16,51,512,20904,256,0,348,2862,8.274002
random,16,52,488,18456,244,0,368,3094,8.407578
random,16,53,514,20928,257,0,348,2932,8.327316
random,16,54,492,20048,246,0,364,3244,9.148697
random,16,55,494,19496,247,0,360,2406,6.704758
random,16,56,506,21128,253,0,342,2208,6.335587
random,16,57,510,20752,255,0,350,2766,7.907516
random,16,58,496,21304,248,0,348,1874,5.382339
random,16,59,384,12208,192,0,460,2566,5.656143
random,16,60,498,20168,249,0,356,2266,6.404190
random,16,61,450,17768,225,0,384,2002,5.318893
random,16,62,470,18840,235,0,358,2260,6.195328
random,16,63,608,27280,304,0,320,3268,10.547867
random,16,64,520,21832,260,0,346,2342,6.883102
random,16,65,452,17368,226,0,390,2410,6.293289
random,16,66,448,16240,224,0,398,3754,9.506882
random,16,67,420,15064,210,0,404,2466,6.054855
random,16,68,438,15664,219,0,408,2728,6.751266
random,16,69,490,19008,245,0,360,3004,8.190598
random,16,70,558,23568,279,0,324,3298,10.095963
random,16,71,516,20408,258,0,354,3392,9.575027
random,16,72,520,21536,260,0,358,2338,6.837570
random,16,73,418,14472,209,0,414,2510,6.078903
