============================================================================================================
Residual as a fraction of the centred signal:  Phi(lambda_true)  vs  Phi(s)
   s = exact tilt with mean exactly n;  lambda_true = (1/4)log(r(n-2)/r(n+2))
============================================================================================================

  --- odds
      k     variable     x=0.06    x=0.10    x=0.20    x=0.30
    100  lambda_true     1.996%    2.015%    2.117%    2.369%
    100     s (tilt)     5.781%    5.860%    6.287%    7.322%
    140  lambda_true     1.364%    1.375%    1.438%    1.588%
    140     s (tilt)     4.034%    4.086%    4.371%    5.052%
    180  lambda_true     1.040%    1.048%    1.094%    1.202%
    180     s (tilt)     3.103%    3.142%    3.357%    3.868%
    220  lambda_true     0.842%    0.849%    0.884%    0.970%
    220     s (tilt)     2.523%    2.555%    2.727%    3.137%

  --- squares
      k     variable     x=0.06    x=0.10    x=0.20    x=0.30
    110  lambda_true     1.368%    1.421%    0.108%    0.888%
    110     s (tilt)     6.680%    3.818%    5.605%    7.620%
    150  lambda_true     1.899%    1.813%    1.968%    2.134%
    150     s (tilt)     5.784%    5.750%    6.208%    7.079%
    190  lambda_true     1.485%    1.496%    1.554%    1.692%
    190     s (tilt)     4.526%    4.581%    4.871%    5.556%

  --- primes
      k     variable     x=0.06    x=0.10    x=0.20    x=0.30
    100  lambda_true     2.377%    2.556%    2.368%    2.014%
    100     s (tilt)     6.597%    6.847%    7.000%    7.457%
    140  lambda_true     1.471%    1.479%    1.543%    1.703%
    140     s (tilt)     4.423%    4.476%    4.780%    5.514%
    180  lambda_true     1.128%    1.137%    1.183%    1.296%
    180     s (tilt)     3.403%    3.446%    3.676%    4.223%
    220  lambda_true     0.914%    0.921%    0.958%    1.047%
    220     s (tilt)     2.759%    2.793%    2.979%    3.419%
