================================================================================================
lm/r against Gamma as a function of z = (n - mu)/sigma
prediction:  (Gamma - lm/r)/Gamma  =  (1 - z^2) Q(0)/sigma^2
================================================================================================

  odds, k=90:  Gamma=3.000000  Q(0)=20.333  sigma=492.9  Q/sigma^2=8.368e-05
         z        n         lm/r   measured dev     predicted   ratio
      0.00     4050     2.999754      8.188e-05     8.368e-05   0.979
      0.50     4296     2.999813      6.226e-05     6.276e-05   0.992
      0.90     4494     2.999948      1.748e-05     1.590e-05   1.099
      1.00     4543     2.999993      2.279e-06     0.000e+00     nan
      1.10     4592     3.000044     -1.460e-05    -1.757e-05   0.831
      1.50     4789     3.000300     -1.000e-04    -1.046e-04   0.956
      2.00     5036     3.000750     -2.499e-04    -2.510e-04   0.995
      2.50     5282     3.001359     -4.530e-04    -4.393e-04   1.031

  odds, k=60:  Gamma=3.000000  Q(0)=20.333  sigma=268.3  Q/sigma^2=2.824e-04
         z        n         lm/r   measured dev     predicted   ratio
      0.00     1800     2.999182      2.725e-04     2.824e-04   0.965
      0.50     1934     2.999374      2.086e-04     2.118e-04   0.985
      0.90     2041     2.999810      6.325e-05     5.366e-05   1.179
      1.00     2068     2.999962      1.272e-05     0.000e+00     nan
      1.10     2095     3.000131     -4.363e-05    -5.931e-05   0.736
      1.50     2202     3.000982     -3.273e-04    -3.530e-04   0.927
      2.00     2337     3.002517     -8.390e-04    -8.473e-04   0.990
      2.50     2471     3.004658     -1.553e-03    -1.483e-03   1.047

  sqrt32, k=40:  Gamma=3.377932  Q(0)=62.772  sigma=410.7  Q/sigma^2=3.721e-04
         z        n         lm/r   measured dev     predicted   ratio
      0.00     2093     3.376757      3.480e-04     3.721e-04   0.935
      0.50     2298     3.377018      2.707e-04     2.791e-04   0.970
      0.90     2463     3.377626      9.076e-05     7.070e-05   1.284
      1.00     2504     3.377837      2.831e-05     0.000e+00     nan
      1.10     2545     3.378074     -4.192e-05    -7.814e-05   0.536
      1.50     2709     3.379305     -4.062e-04    -4.651e-04   0.873
      2.00     2914     3.381623     -1.093e-03    -1.116e-03   0.979
      2.50     3120     3.385193     -2.150e-03    -1.954e-03   1.100
